word,language_id
porttitor,58
dictumst,19
in,96
magna,75
in,57
suspendisse,82
habitasse,54
nunc,85
lectus,16
sapien,25
ultrices,30
in,63
libero,77
fusce,65
ut,27
molestie,49
ligula,48
nunc,9
odio,76
ut,93
porttitor,27
duis,45
in,79
nulla,28
ipsum,51
cras,94
lectus,92
faucibus,84
suscipit,45
pretium,11
congue,43
dictumst,30
integer,14
odio,55
lacus,1
consequat,46
vulputate,22
sed,71
pede,85
cras,93
volutpat,50
vestibulum,6
curae,56
sit,49
amet,95
varius,85
lacinia,22
vestibulum,43
bibendum,1
pharetra,12
vulputate,8
posuere,24
donec,24
duis,88
adipiscing,41
imperdiet,73
nulla,77
ultrices,35
tortor,66
ut,66
dapibus,82
viverra,80
amet,78
fusce,89
in,80
eu,32
sit,71
sem,82
cursus,20
dictumst,17
vivamus,96
justo,61
in,12
nullam,91
ipsum,64
augue,9
rutrum,66
curae,20
habitasse,76
faucibus,25
fusce,67
rutrum,45
non,14
a,55
mi,6
at,4
curabitur,75
nulla,58
in,14
non,18
consequat,44
vestibulum,84
integer,84
nec,1
maecenas,78
sapien,9
nibh,46
lectus,68
quisque,14
nec,6
a,10
viverra,88
odio,43
cum,87
sagittis,56
erat,18
vestibulum,59
ac,83
est,31
eu,99
quis,15
interdum,46
vulputate,6
risus,96
nulla,35
tincidunt,20
feugiat,22
aliquam,16
et,29
vestibulum,42
in,5
tempor,79
lectus,15
tristique,47
sociis,59
viverra,87
vestibulum,20
imperdiet,97
ultrices,78
dictumst,96
pretium,9
quisque,57
elementum,46
ultrices,88
in,22
in,48
interdum,77
scelerisque,95
condimentum,36
diam,21
ante,44
non,54
pharetra,16
potenti,59
nulla,40
augue,57
et,15
quam,87
pellentesque,38
duis,62
eget,16
adipiscing,48
condimentum,37
pede,54
etiam,39
erat,91
tortor,39
non,7
fusce,35
posuere,21
diam,9
quam,45
libero,78
id,28
cubilia,59
eu,23
id,52
hac,68
proin,33
quis,72
tristique,11
sem,4
platea,71
eu,15
id,88
risus,33
vel,1
erat,26
penatibus,33
nisl,17
amet,15
velit,89
dapibus,87
et,24
non,48
eget,73
tellus,71
risus,74
convallis,13
eleifend,78
fermentum,94
tempus,39
porttitor,26
risus,52
nunc,35
fringilla,87
donec,68
dapibus,94
nulla,50
luctus,100
id,53
justo,59
pharetra,6
ut,19
id,73
quam,1
blandit,90
amet,2
morbi,83
metus,72
quam,65
tempor,80
adipiscing,83
mus,28
interdum,12
dolor,68
tempus,32
consequat,36
volutpat,10
massa,6
nulla,100
sit,33
magna,30
dictumst,85
in,58
nascetur,79
ut,23
ligula,44
vel,21
eu,3
mauris,32
ut,39
morbi,47
pellentesque,98
eros,65
amet,99
parturient,19
lacinia,98
massa,62
egestas,88
quis,7
nulla,10
faucibus,17
vestibulum,92
ornare,25
mauris,92
nulla,43
ipsum,64
amet,14
semper,61
amet,15
id,9
nonummy,92
nulla,17
hac,79
justo,15
mauris,59
lacus,89
eget,60
mus,64
habitasse,44
accumsan,5
dis,21
pellentesque,70
vestibulum,88
potenti,59
ut,49
risus,90
ut,91
commodo,2
nunc,21
maecenas,39
lectus,19
massa,92
luctus,13
ac,70
nunc,83
orci,47
duis,73
ut,99
erat,88
lacus,100
leo,97
vestibulum,53
vitae,37
consequat,97
vulputate,49
erat,9
tellus,88
et,61
aliquet,29
nisi,89
ipsum,90
suspendisse,76
justo,72
eget,71
tempus,34
dapibus,54
neque,82
nulla,16
quisque,17
non,89
nunc,74
amet,80
diam,88
quam,46
orci,21
in,90
et,8
congue,72
condimentum,12
ac,5
blandit,16
volutpat,72
gravida,34
nunc,1
suspendisse,3
tortor,5
suscipit,73
nulla,1
suscipit,78
at,33
iaculis,74
sagittis,24
quis,5
sit,58
eu,76
ultrices,80
sapien,43
pellentesque,18
habitasse,16
lacinia,68
orci,98
ac,97
sodales,14
id,39
justo,18
cubilia,10
est,13
id,96
rhoncus,13
in,60
fusce,12
non,48
fusce,84
varius,81
felis,91
lorem,12
mattis,20
lorem,6
nisi,10
elementum,100
accumsan,13
nisi,88
lobortis,79
scelerisque,40
in,98
in,23
justo,19
scelerisque,79
morbi,29
mauris,49
dui,55
eleifend,75
purus,30
nunc,17
pede,7
sit,12
eget,19
natoque,11
volutpat,91
faucibus,24
mattis,83
tempor,42
platea,33
tristique,13
id,5
duis,44
mauris,53
integer,33
ante,5
lobortis,51
maecenas,89
donec,61
ligula,75
lectus,79
proin,66
tempus,62
ornare,8
orci,28
felis,67
in,68
non,47
posuere,57
massa,81
nec,17
eget,73
integer,96
odio,49
donec,96
commodo,33
mi,87
nulla,32
suspendisse,74
interdum,55
vestibulum,46
magnis,46
vel,19
nulla,21
lacus,92
amet,85
nulla,23
purus,65
augue,64
mi,85
at,77
nam,47
turpis,92
sapien,32
commodo,16
et,56
non,15
dolor,32
tortor,44
luctus,9
vehicula,27
ut,47
volutpat,50
integer,34
sed,73
praesent,65
pede,54
imperdiet,89
amet,3
nonummy,64
id,90
mauris,92
metus,22
hac,80
orci,57
risus,66
bibendum,30
maecenas,91
id,12
tellus,90
magnis,52
sit,84
dolor,41
mauris,49
vivamus,31
adipiscing,63
platea,99
orci,6
integer,82
cras,41
duis,66
dolor,42
vestibulum,76
nulla,85
integer,88
posuere,7
a,80
semper,26
odio,19
eu,86
faucibus,34
dis,78
ante,43
nulla,95
imperdiet,1
auctor,42
ipsum,67
suspendisse,90
mattis,66
curabitur,70
mi,95
amet,55
fusce,47
iaculis,4
congue,99
ipsum,10
praesent,62
ultrices,69
a,2
velit,33
ante,38
tellus,35
aliquam,87
neque,76
erat,65
turpis,49
